Station Code,Station ID,English Name,Latitude,Longitude,Minutes,Line Code,
AWE,56,AsiaWorld-Expo,22.3219972,113.9422192,-,AEL,
AIR,47,Airport,22.3158106,113.9365921,2,AEL,
TSY,46,Tsing Yi,22.3583861,114.1074312,14,AEL,
KOW,45,Kowloon,22.3048965,114.1616963,13,AEL,
HOK,44,Hong Kong,22.2851469,114.1584546,5,AEL,
,,,,,34,,
SUN,54,Sunny Bay,22.3317036,114.0290377,-,DRL,
DIS,55,Disneyland Resort,22.3155384,114.0451419,6,DRL,
,,,,,6,,
LOW,76,Lo Wu,22.5281624,114.113146,-,EAL,
SHS,75,Sheung Shui,22.501124,114.1280498,6,EAL,
FAN,74,Fanling,22.4920423,114.1386658,4,EAL,
TWO,73,Tai Wo,22.4509658,114.1612012,6,EAL,
TAP,72,Tai Po Market,22.4445147,114.1707659,4,EAL,
UNI,71,University,22.4133852,114.2100545,7,EAL,
FOT,69,Fo Tan,22.3953371,114.198366,5,EAL,
SHT,68,Sha Tin,22.3826796,114.1877459,4,EAL,
TAW,67,Tai Wai,22.3728022,114.1787838,4,EAL,
KOT,8,Kowloon Tong,22.3369989,114.1758397,6,EAL,
MKK,65,Mong Kok East,22.3217126,22.3217126,4,EAL,
HUH,64,Hung Hom,22.3027415,114.182136,5,EAL,
EXC,94,Exhibition Centre,22.2816654,114.1757015,5,EAL,
ADM,2,Admiralty,22.2790893,114.1653075,3,EAL,
,,,,,63,,
CHW,37,Chai Wan,22.2646033,114.2370517,-,ISL,
HFC,36,Heng Fa Chuen,22.276619,114.2397239,3,ISL,
SKW,35,Shau Kei Wan,22.2790272,114.2286373,3,ISL,
SWH,34,Sai Wan Ho,22.2816237,114.2222818,3,ISL,
TAK,33,Tai Koo,22.2844656,114.2163547,3,ISL,
QUB,32,Quarry Bay,22.2881703,114.2089006,3,ISL,
NOP,31,North Point,22.2911365,114.2003964,3,ISL,
FOH,30,Fortress Hill,22.2875389,114.1933631,3,ISL,
TIH,29,Tin Hau,22.2821959,114.1920333,3,ISL,
CAB,28,Causeway Bay,22.2801023,114.1840143,3,ISL,
WAC,27,Wan Chai,22.2775557,114.1729643,3,ISL,
ADM,2,Admiralty,22.2790893,114.1653075,3,ISL,
CEN,1,Central,22.281824,114.1578631,3,ISL,
SHW,26,Sheung Wan,22.2865033,114.1521488,3,ISL,
SYP,81,Sai Ying Pun,22.2854233,114.1427807,3,ISL,
HKU,82,HKU,22.2839642,114.1354563,2,ISL,
KET,83,Kennedy Town,22.2812239,114.128455,2,ISL,
,,,,,46,,
TIK,49,Tiu Keng Leng,22.3040231,114.252426,-,KTL,
YAT,48,Yau Tong,22.2978508,114.237233,4,KTL,
LAT,38,Lam Tin,22.3066758,114.2328977,3,KTL,
KWT,15,Kwun Tong,22.3122845,114.2264543,3,KTL,
NTK,14,Ngau Tau Kok,22.3154451,114.2192556,3,KTL,
KOB,13,Kowloon Bay,22.3235575,114.2141658,3,KTL,
CHH,12,Choi Hung,22.3354008,114.2086311,3,KTL,
DIH,11,Diamond Hill,22.3396397,114.2012733,4,KTL,
WTS,10,Wong Tai Sin,22.3417091,114.1943553,3,KTL,
LOF,9,Lok Fu,22.3380634,114.1869748,3,KTL,
